university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Kobe University,,64.4,72.2,58.8,59
New Economic School,,57.7,75,64.9,67
Queen Mary University of London,,51.9,80,64.2,67
Renmin (People's) University of China,,58.4,75.3,62.6,64.3
RWTH Aachen University,,56.3,68.7,75.7,59
Ruprecht-Karls-Universität Heidelberg,,52,77.1,69.9,67.8
Saint Petersburg State University,,63.7,58.9,73.7,54.9
Sapienza University of Rome,,58.1,71.2,69.5,65.3
Shanghai University of Finance and Economics,,59.6,77.7,55.2,64.3
Simon Fraser University,,54.7,80.6,58.8,70.8
Sogang University,,59.1,64.9,73.4,53.4
Instituto Tecnológico y de Estudios Superiores de Monterrey,,59.9,61.6,75,54.9
Universidad Autónoma de Madrid,,53.3,73.7,69.6,61.3
University Complutense Madrid,,55.4,73.5,71.4,62.4
Universidad Nacional Autónoma de México (UNAM),,66.5,58,76.5,54.9
Universidad Torcuato Di Tella,,61.6,65.8,62.5,61.3
University of Milan,,52.1,78.3,63.7,67
Università di Padova,,53.7,75.9,65.1,65.3
University of Turin,,50.3,83.8,55.6,70.8
Universität Hamburg,,52.7,75.7,61.6,66.2
"Université Paris-Dauphine, PSL Research University",,49.8,75.8,65.9,67.8
Universiti Malaya (UM),,61.9,68.2,70.9,59
Universiti Sains Malaysia (USM),,57.2,72.7,65.9,61.3
University of Bath,,50.8,82.3,65.5,70.8
University of Calgary,,48.5,81.5,66.6,68.6
University of Canterbury,,53.5,74.4,69.2,64.3
The University of Exeter,,49.8,79.1,64.5,67
University of Florida,,50.8,82.5,57.2,72.1
"University of Illinois, Chicago (UIC)",,61.3,76.6,55.7,66.2
University of Leeds,,49.6,78.9,67.7,70.8
University of Lisbon,,53,80.4,60.8,70.1
University of Notre Dame,,50,89.8,52,77.3
University of Otago,,54.3,74.1,66.6,61.3
University of Reading,,53.5,80.6,63.4,68.6
University of Southampton,,53.7,79.6,59.5,69.4
University of Sussex,,56.8,79.5,45.4,72.1
Uppsala University,,56.6,79.2,58,67.8
Utrecht University,,52.2,81.8,62.9,70.1
Wageningen University,,54,81.3,55.6,71.5
Waseda University,,60.3,65.7,76.1,53.4
York University,,46.4,82.3,61.6,72.1
