university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Oxford Brookes University,,48.2,82.4,72.5,71.4
Pontificia Universidad Católica del Perú,,67.6,,75,27.7
Pontificia Universidad Javeriana,,65.6,36.3,64.2,45.1
Saint Petersburg State University,,62.9,41.9,69.1,34.9
Singapore Management University,,63.2,62.2,57.7,52.4
Stellenbosch University,,58.7,60.3,65.7,52.4
Tel Aviv University,,59.6,88.3,46.6,75.5
"Trinity College Dublin, The University of Dublin",,49.2,82.7,74.7,66.5
Universidad de los Andes - Chile,,67.4,60,47.7,49
Universidad Externado de Colombia,,71.7,,59.8,27.7
Universidad Nacional de Colombia,,64.5,,70.3,34.9
Universidade Federal do Rio de Janeiro,,61,64.2,59.1,49
University of Florence,,64.9,63.4,51.6,49
Universitat Autònoma de Barcelona,,58.9,61.4,60.4,55.3
Universitat Pompeu Fabra,,63.2,72.9,54.9,62.6
Universiti Malaya (UM),,56.3,75.7,64.9,60.4
University of Alberta,,56.2,77,63.6,60.4
University of Bern,,58.6,78.6,55.4,58
University of Calgary,,49.8,86.4,64.7,68.2
"University of California, Irvine",,50.4,92.3,61.8,83.9
University of Coimbra,,64.3,67.7,54.5,55.3
University of Colorado Boulder,,49.3,93,60.4,79
University of Essex,,57.2,88.7,54,74.2
The University of Exeter,,50,77.4,68.2,60.4
University of Groningen,,60.8,81.4,51.7,68.2
University of Lausanne,,58.6,79.3,60.6,58
University of Lisbon,,53.9,77.8,59.9,62.6
University of Liverpool,,56,86.1,56.7,75.5
University of Reading,,53.7,80,60.2,64.6
University of Southern California,,49.4,85.7,62.7,77.9
University of Strathclyde,,52.6,80.4,58.2,68.2
University of Victoria,,54.4,84.1,54.8,69.8
University of Wollongong,,50,79.5,65.6,64.6
Vanderbilt University,,55,98.9,42,88.8
Vrije Universiteit Brussel (VUB),,54.7,82.9,65,62.6
Washington University in St. Louis,,60.3,94.3,45.2,71.4
The University of Western Ontario,,48.4,82.8,69.1,66.5
