university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Curtin University,,56.9,78.5,61.6,85.4
Freie Universitaet Berlin,,59.1,81.4,57.3,79.3
George Washington University,,60.9,80,59.6,79.3
Georgetown University,,58.9,85.6,64.8,84.6
Griffith University,,58,82.1,58.7,93.7
Indian Institue of Management (IIM) - Calcutta,,59.6,76.4,61.6,71.2
Indian Institute of Technology Bombay (IITB),,62.1,70.3,66.3,65
Indian Institute of Technology Delhi (IITD),,59.8,79,63,79.3
Instituto Tecnológico Autónomo de México (ITAM),,67.2,54.8,67.5,56.7
Kyung Hee University,,54.2,84.6,71,80.2
Loughborough University,,57.8,81.4,56.9,87.6
Maastricht University,,57.2,84.1,56.5,85.4
Macquarie University,,57.1,77.6,66.6,83.8
Nanjing University,,56.5,79.4,67.5,77.2
National Cheng Kung University (NCKU),,54.7,84.2,63.6,88.3
National Chengchi University,,57.6,81.3,59.3,85.4
National Chiao Tung University,,55.3,81.1,64.1,78.3
"National Research University Higher School of Economics (HSE, Moscow)",,65.5,61.8,63.4,66.7
National Tsing Hua University,,54.9,78.5,66.2,76.1
Northeastern University,,54.7,86.9,58,88.3
Renmin (People's) University of China,,63.3,76,58.3,76.1
RWTH Aachen University,,57.1,76.5,71.2,79.3
Saint Petersburg State University,,58.7,79.5,65.1,75
Simon Fraser University,,53.9,90.8,61,86.1
Sun Yat-sen University,,55.5,80.5,63.9,81.2
University Complutense Madrid,,54.8,77.2,67.5,72.5
Universidade Nova de Lisboa,,50.8,86.9,66.5,83.8
Alma Mater Studiorum - University of Bologna,,59.4,82.6,66.8,79.3
Universitat Pompeu Fabra,,57.3,85.4,58.1,77.2
Université catholique de Louvain (UCL),,60.1,83.1,60.5,80.2
Université Paris 1 Panthéon-Sorbonne,,58.6,70.1,73.1,68.3
"Université Paris-Dauphine, PSL Research University",,60.7,73.2,60.6,75
Universiti Putra Malaysia (UPM),,62.4,62.3,64.7,76.1
The University of Arizona,,58.9,96.6,52.8,92.6
"University of California, Davis",,56.9,88.6,63.6,80.2
"University of California, Irvine",,57.2,94.2,54.8,82.1
"University of California, San Diego (UCSD)",,57.2,87.4,64.4,78.3
University of Canterbury,,51.6,84.9,66.9,82.1
The University of Exeter,,55.7,84.6,61.9,85.4
University of Glasgow,,57.2,81.2,64.1,82.9
University of Groningen,,62.5,87.4,53.1,92.6
University of Science and Technology of China,,55.6,80.1,65.9,71.2
University of South Australia,,59,77.5,61.1,87.6
University of Wollongong,,52.5,81.5,66.8,84.6
Uppsala University,,59.9,81.7,55.9,82.9
Virginia Polytechnic Institute and State University,,59.3,84.1,55.6,86.8
