university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Macquarie University,,59.6,75.1,76.3,66.7
The New School,,67.3,72.6,33.5,62.9
Newcastle University,,60.1,83.5,50.7,73
Rutgers University - New Brunswick,,61.3,84,36.2,81.1
Saint Petersburg State University,,67.5,29.6,78.7,25
SOAS University of London,,67.4,75.1,33.2,64.2
Tel Aviv University,,59.3,79.6,63.1,72
The University of Nottingham,,57.3,87.4,56.9,82.4
Universidad de los Andes,,66.1,43.5,62.7,37.8
Universidad de Santiago de Chile (USACH),,67.2,34.2,68.8,34.2
Universidade de Brasília,,65.2,53.8,55.8,48.9
Universidade Federal de Minas Gerais,,66.3,60.4,45.6,51.1
Universität Hamburg,,60,76.5,62.6,66.7
Universiti Malaya (UM),,65.2,55.3,73.1,37.8
Universiti Sains Malaysia (USM),,66.7,47.4,64.9,34.2
University at Albany SUNY,,61,85.2,42.1,73.9
"University of California, Davis",,57.8,88.5,60.5,81.8
"University of California, San Francisco",,61.1,77.4,54.7,62.9
University of Colorado Boulder,,55.8,88.7,52.7,81.8
University of Delhi,,69.3,46.5,60.4,34.2
University of Geneva,,61.5,80.8,54.8,68.9
University of Illinois at Urbana-Champaign,,60.2,86.2,50,82.4
"University of Illinois, Chicago (UIC)",,56.8,83.8,59.7,75.7
University of Leicester,,62.2,83.2,48.3,70
University of Massachusetts Amherst,,58.2,89.1,39.5,78.9
University of Otago,,61.7,70.5,57.6,60
University of Ottawa,,61.6,82,54.8,73.9
University of South Australia,,59.2,68.8,74.9,56.8
University of Southern California,,55.4,86.6,65.6,81.8
University of Surrey,,63,77.1,56.2,64.2
University of Waikato,,66.8,60.8,49.8,56.8
University of Warsaw,,61.9,63.9,62.2,53.1
University of Waterloo,,56.9,83.1,67.1,68.9
University of Zurich,,58.7,86.6,48.4,76.5
Vrije Universiteit Brussel (VUB),,59.7,75.5,59.2,68.9
The University of Western Ontario,,60.4,80.4,68.2,70
