university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
"University of California, Irvine",,56.2,84.5,53.6,69
"University of California, Riverside",,51.8,90.3,51.8,79.2
University of Groningen,,59.9,83.4,52.3,72.5
"University of Illinois, Chicago (UIC)",,59.6,73.7,59.7,61.5
University of Lisbon,,55.2,77.8,62,69.7
"University of Maryland, College Park",,44.8,86.8,66.5,73.8
University of Notre Dame,,57.3,81.4,55.7,73.2
University of Oklahoma,,55.1,71.9,63.5,62.4
University of Ottawa,,53.5,86.8,60.6,80.2
University of Pittsburgh,,53.4,89.9,52.7,78.1
University of Southern California,,47.2,89,66,78.1
University of Virginia,,54.4,75.7,60.3,67.5
Vanderbilt University,,56.2,81.6,61.1,63.3
Virginia Polytechnic Institute and State University,,52.4,80.2,63.7,70.5
The University of Western Ontario,,49.4,79.6,66.2,68.3
Xi’an Jiaotong University,,49,75.8,62.3,73.8
