id,university,overall,archaeology,architecture,art-design,english-language-literature,history,linguistics,modern-languages,performing-arts,philosophy,theology-divinity-religion
192,Universidade Estadual de Campinas (Unicamp),,,,,,,,,,,
74,Durham University,78.3,91.8,,,78.4,78.1,,,,,93.8
129,Lancaster University,70.9,,,,,,77.4,,,,75.6
57,University of Amsterdam,76.9,,,,77.2,78,79,81.2,71.9,71.5,72.8
67,University of Texas at Austin,78,81.5,73.9,,79.6,81.2,73.3,,,,
26,Northwestern University,72.3,,,,,76.5,,,79.6,,72.1
40,"University of California, San Diego (UCSD)",72.3,,,,,,73,,,69.7,
22,The Australian National University,87.4,82.7,,69.3,82.3,85.1,74.4,82.3,,78.5,
117,Aarhus University,72.3,79.4,,,,,,,,,
132,"University of Maryland, College Park",66.2,,,,,,80.1,,,,
80,University of Zurich,72.2,,,,,,,,,,
54,Ecole Polytechnique,,,,,,,,,,,
83,Pohang University of Science And Technology (POSTECH),,,,,,,,,,,
48,KAIST - Korea Advanced Institute of Science & Technology,,,,,,,,,,,
33,"Ecole normale supérieure, Paris",69.7,,,,,,,,,69.7,
140,Cardiff University,68.4,,74.9,,,,,,,,
37,Kyoto University,81.7,,75,,,79.7,,85.6,,,
151,National Tsing Hua University,68.4,,,,,,,,,,
82,University of Birmingham,74.6,,,,77.9,,70.4,,,,75.1
197,University of Calgary,,,,,,,,,,,
62,Delft University of Technology,69,,92,,,,,,,,
35,Seoul National University,81.5,,75.7,74.6,,75.8,73.8,86.7,,,
9,Imperial College London,69.6,,,,,,,,,,
200,Universidad de Chile,67.8,,,,,,,,,,
16,Cornell University,80.8,,79.8,71.1,84.9,80.7,69.9,80.5,,70.7,
168,Newcastle University,66.4,,,,,,,,,,
76,The University of Nottingham,71.4,,,,76.2,,,,,,
73,Lund University,68.8,,,,,,,,,,
25,Duke University,79.1,,,,85.2,81.3,,,,,87.5
130,Hokkaido University,,,,,,,,,,,
93,University of Leeds,75.4,,,,78,,,,,,
164,Technische Universität Berlin (TU Berlin),,,73.8,,,,,,,,
1,Massachusetts Institute of Technology (MIT),86.1,,98,92.1,80.8,76.8,99.3,86.6,73.4,80.4,
87,University of Southampton,65,78.1,,,,,,,71.7,,
181,University of Bern,,,,,,,,,,,
5,California Institute of Technology (Caltech),64.5,,,,,,,,,,
32,University of Toronto,85.8,78.5,74.9,,88.5,85.7,76.7,83.4,,79.8,86.6
158,Dartmouth College,66,,,,,,,,,,
121,Humboldt-Universität zu Berlin,80.5,,,,,81.4,73.9,83.4,,81,74.3
72,Ruprecht-Karls-Universität Heidelberg,74.2,76.5,,,,,,78.9,,72.2,85.5
109,Technical University of Denmark,,,,,,,,,,,
4,University of Cambridge,97.6,96.5,87.5,,97.5,97,86.9,98.2,83,88.4,93.2
21,King's College London,82.7,,,,82.9,82.8,,78.7,79.5,76.7,76.2
