university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Norwegian University of Science And Technology,,68.2,71.4,83.1,64.8
Osaka University,,69.7,77.1,73.9,58.8
Rheinische Friedrich-Wilhelms-Universität Bonn,,60.4,88.4,60.2,78.5
Rutgers University - New Brunswick,,56.8,94.1,46.3,83.8
Tel Aviv University,,58,89.7,57.7,72
The Chinese University of Hong Kong (CUHK),,66.5,76.8,72.4,66.1
The Hong Kong University of Science and Technology,,68.2,78.2,83.5,65.5
The University of Nottingham,,56,88.2,68.7,72
University Complutense Madrid,,62.9,83.7,50.7,75.4
Universidad de Concepción,,67.8,84.4,54.1,68
Universidade Federal do Rio de Janeiro,,70.5,76.7,62.6,64.1
University of Milan,,68.5,88.4,45.6,69.2
Università di Padova,,62.4,85.4,49.8,79.7
Alma Mater Studiorum - University of Bologna,,66.9,82.2,64.3,71.4
University of Bayreuth,,68.1,87.7,33.3,73
Aix-Marseille University,,59.7,87.7,41.3,81.6
Université Paul Sabatier Toulouse III,,62.9,83.5,51.9,70.9
University College Dublin,,64.2,82.7,77.8,67.4
"University of California, Riverside",,60.6,90.6,44,75
University of Canterbury,,61.3,84,81.4,70.9
Ghent University,,64.7,84.3,45,77.2
University of Kansas,,63,87.6,44.7,75.9
Université de Liège,,61,83.4,52.7,72.5
University of Lisbon,,59.3,84.5,71.7,77.7
University of Pennsylvania,,56.6,84.9,73,70.9
Plymouth University,,69.3,82.3,35.8,68.6
University of the Witwatersrand,,65.6,84.3,62.4,70.9
University of Tsukuba,,67.9,84,58.7,66.8
University of Wollongong,,58,85.9,80.6,74
Virginia Polytechnic Institute and State University,,64.2,82.2,51.1,75.9
Washington State University,,69.6,81.2,50.7,68
The University of Western Ontario,,60.1,85.4,72.7,73.5
Westfälische Wilhelms-Universität Münster,,64.2,88.8,23.5,75.4
